ville;nom;url;desc
Paris;Galeries nationales du Grand Palais;https://en.wikipedia.org/wiki/Galeries_nationales_du_Grand_Palais;The galeries nationales du Grand Palais (Grand Palais National Galleries) are museum spaces located in the Grand Palais in the 8th arrondissement of Paris. They serve as home to major art exhibits and cultural events programmed by the Réunion des musées nationaux et du Grand Palais des Champs-Élysées (RMN), and are open six days a week.
Paris;Henri Cartier-Bresson Foundation;https://en.wikipedia.org/w/index.php?title=Henri_Cartier-Bresson_Foundation&action=edit&redlink=1;Other reasons this message may be displayed:
Paris;Institut Tessin;https://en.wikipedia.org/wiki/Institut_Tessin;The Institut Tessin, also known as the Centre Culturel Suédois, is a museum in Paris dedicated to the history of Franco-Swedish artistic exchanges. It is located in the Hôtel de Marle at 11, rue Payenne in the city's 3rd arrondissement, and is open weekdays except Monday: admission is free.
Paris;La Maison Rouge;https://en.wikipedia.org/wiki/La_Maison_Rouge;La Maison Rouge was a private contemporary art Foundation dedicated mainly to showing private art collections, monographic shows of contemporary artists' work. It is located close to the Bastille, in Paris, at 10 Boulevard de la Bastille in the 12th arrondissement of Paris.[1][2]. La Maison Rouge has been definitely closed in October 2018.
Paris;Maison d'Auguste Comte;https://en.wikipedia.org/wiki/Maison_d%27Auguste_Comte;The Maison d'Auguste Comte, also known as the Musée Auguste Comte, is a private writer's house museum and archive dedicated to positivist philosopher Auguste Comte (1798–1857). It is maintained by the Association internationale Auguste Comte, located in the 6th arrondissement at 10, rue Monsieur-le-Prince, Paris, France, and open Wednesday afternoons, with a guided tour at 3:30 p.m.: an admission fee is required. The closest Paris Métro station is Odéon.
Paris;Maison de Balzac;https://en.wikipedia.org/wiki/Maison_de_Balzac;The Maison de Balzac is a writer's house museum in the former residence of French novelist Honoré de Balzac (1799–1850). It is located in the 16th arrondissement at 47, rue Raynouard, Paris, France, and open daily except Mondays and holidays: admission to the house is free, but a fee is charged for its temporary exhibitions. The nearest métro and RER stations are Passy and Avenue du Président Kennedy.
Paris;Maison européenne de la photographie;https://en.wikipedia.org/wiki/Maison_europ%C3%A9enne_de_la_photographie;The Maison Européenne de la Photographie (or MEP), located in the historic heart of Paris, is a major center for contemporary photographic art which opened in February 1996.
Paris;Maison de Victor Hugo;https://en.wikipedia.org/wiki/Maison_de_Victor_Hugo;Maison de Victor Hugo is a writer's house museum located where Victor Hugo lived for 16 years between 1832–1848.[1] It is one of the 14 City of Paris' Museums that have been incorporated since January 1, 2013 in the public institution Paris Musées.
Paris;Maison La Roche;https://en.wikipedia.org/wiki/Villa_La_Roche;Villa La Roche, also Maison La Roche, is a house in Paris, designed by Le Corbusier and Pierre Jeanneret in 1923–1925. It was designed for Raoul La Roche, a Swiss banker and collector of avant-garde art. Villa La Roche now houses the Fondation Le Corbusier.
Paris;Maxim's Art Nouveau "Collection 1900";https://en.wikipedia.org/wiki/Maxim%27s_Art_Nouveau_%22Collection_1900%22;Maxim's Art Nouveau "Collection 1900", also known as the Musée Art Nouveau - Maxim's, is a private collection of Art Nouveau objects and decor, located in the 8th arrondissement above Maxim's Paris restaurant at 3, Rue Royale, Paris, France. It is open for guided tours in afternoons except Monday and Tuesday: an admission fee is charged.
Paris;Mémorial de la Shoah;https://en.wikipedia.org/wiki/M%C3%A9morial_de_la_Shoah;Coordinates: 48.8548°N 2.3562°E
Paris;Minerals collection of Pierre and Marie Curie University;https://en.wikipedia.org/wiki/Pierre_and_Marie_Curie_University#Collections;
Paris;Mona Bismarck American Center;https://en.wikipedia.org/wiki/Mona_Bismarck_American_Center;Through a multidisciplinary program of exhibitions, events, and educational outreach, the Mona Bismarck American Center's mission is to engage visitors in a dialogue with the depth and diversity of the current American cultural scene.[1]
Paris;Mundolingua;https://en.wikipedia.org/wiki/Mundolingua;
Paris;Musée – Librairie du Compagnonnage;https://en.wikipedia.org/wiki/Mus%C3%A9e_%E2%80%93_Librairie_du_Compagnonnage;The Musée – Librairie du Compagnonnage is a museum devoted to French trade guilds. It is located in the 6th arrondissement at 10, rue Mabillon, Paris, France, and open weekday afternoons: entry is free.
Paris;Musée Adzak;https://en.wikipedia.org/wiki/Mus%C3%A9e_Adzak;Musée Adzak, also known as Adzak–Espace d'Art International, is an art museum located at 3, rue Jonquoy, Paris, France. It is located in the Plaisance District, in the southern part of 14th arrondissement. The nearest Paris Métro stop is Plaisance on Line 13.
Paris;Musée "Bible et Terre Sainte";https://en.wikipedia.org/wiki/Mus%C3%A9e_%22Bible_et_Terre_Sainte%22;The Musée Bible et Terre Sainte (Bible and Holy Land Museum), also known as the Musée Biblique (Biblical Museum), is a small museum operated by the Institut Catholique de Paris, and located in the 6th arrondissement of Paris, France, at 21 rue d'Assas. It is open Saturday afternoons: admission is free.
Paris;Musée Baccarat;https://en.wikipedia.org/wiki/Mus%C3%A9e_Baccarat,_Paris;The Musée Baccarat (pronounced [ɡalʁi myze bakaʁa]) is a private museum of Baccarat crystal located in the 16th arrondissement at 11, place des États-Unis, Paris, France. It is open daily except Sundays, Tuesdays, and holidays: an admission fee is charged.
Paris;Musée Bourdelle;https://en.wikipedia.org/wiki/Mus%C3%A9e_Bourdelle;The Musée Bourdelle is an art museum located at 18, rue Antoine Bourdelle, in the 15th arrondissement of Paris, France. It is open daily, except Mondays. The nearest Paris Métro stations are Falguière and Montparnasse – Bienvenüe.
Paris;Musée Carnavalet;https://en.wikipedia.org/wiki/Mus%C3%A9e_Carnavalet;The Musée Carnavalet in Paris is dedicated to the history of the city. The museum occupies two neighboring mansions: the Hôtel Carnavalet and the former Hôtel Le Peletier de Saint Fargeau. On the advice of Baron Haussmann, the civil servant who transformed Paris in the latter half of the 19th century, the Hôtel Carnavalet was purchased by the Municipal Council of Paris in 1866: it was opened to the public in 1880. By the latter part of the 20th century, the museum was full to capacity. The Hôtel Le Peletier de Saint Fargeau was annexed to the Carnavalet and opened to the public in 1989.[2]
Paris;Musée Cernuschi;https://en.wikipedia.org/wiki/Mus%C3%A9e_Cernuschi;The Musée Cernuschi (French pronunciation: [my.ze sɛʁ.ny.ʃi]) (Cernuschi Museum) is an Asian art museum, specialising in works from China, Japan, and Korea, located at 7 avenue Vélasquez, near Parc Monceau, in Paris, France. Its collection in Asian art is second only to the Musée Guimet in Paris. The nearest Paris Métro stops to the museum are Villiers or Monceau on Paris Métro Line 21Line 21.
Paris;Musée Clemenceau;https://en.wikipedia.org/wiki/Mus%C3%A9e_Clemenceau;The Musée Clemenceau is a house museum located in the 16th arrondissement at 8, rue Benjamin Franklin, Paris, France. It is open in the afternoons of Tuesday through Saturday, except in August: an admission fee is charged. The closest métro stations are Passy and Trocadéro.
Paris;Musée Cognacq-Jay;https://en.wikipedia.org/wiki/Mus%C3%A9e_Cognacq-Jay;
Paris;Musée Curie;https://en.wikipedia.org/wiki/Mus%C3%A9e_Curie;The Musée Curie (Curie Museum) is a historical museum focusing on radiological research. It is located in the 5th arrondissement at 1, rue Pierre et Marie Curie, Paris, France, and open Wednesday to Saturday, from 1pm to 5pm: admission is free. The museum was renovated in 2012, thanks to a donation from Ève Curie.
Paris;Musée d'Art Dentaire Pierre Fauchard;https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Art_Dentaire_Pierre_Fauchard;The Musée d'Art Dentaire Pierre Fauchard is a museum of dental history located in the 16th arrondissement at the Académie Nationale de Chirurgie Dentaire, 22 Rue Émile Ménier, Paris, France. It is open Wednesday afternoons by appointment. The nearest métro and RER stations are Porte Dauphine, Avenue Foch, and Victor Hugo.
Paris;Musée d'Art et d'Histoire du Judaïsme;https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Art_et_d%27Histoire_du_Juda%C3%AFsme;The Musée d’Art et d’Histoire du Judaïsme or mahJ (French: "Museum of Jewish Art and History") is the largest French museum of Jewish art and history. It is located in the Hôtel de Saint-Aignan in the Marais district in Paris.
Paris;Musée d'Art Moderne de la Ville de Paris;https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Art_Moderne_de_la_Ville_de_Paris;Musée d'Art Moderne de la Ville de Paris (French pronunciation: [myze daʁ mɔdɛʁn də la vil də paʁi], City of Paris' Museum of Modern Art) or MAMVP, is a major municipal museum dedicated to modern and contemporary art of the 20th and 21st centuries. It is located at 11, Avenue du Président Wilson in the 16th arrondissement of Paris.[1]
Paris;Musée d'Art Naïf – Max Fourny;https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Art_Na%C3%AFf_%E2%80%93_Max_Fourny;The Musée d'Art Naïf – Max Fourny (Museum of Naïve Art–Max Fourny), also known as the Musée d'Art Brut & Art Singulier (Museum of Primitive Art and Singular Art), is a museum of naive art located in the Halle Saint-Pierre at 2, rue Ronsard, in the 18th arrondissement of Paris, France. The closest Paris Métro stations are Anvers on Line 2, and Abbesses on Line 12. It is open daily (closed on weekends in August): an admission fee is charged.
Paris;Musée d'Ennery;https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Ennery;The Musée d'Ennery is a national museum of Asian art located in the 16th arrondissement of Paris at 59, avenue Foch, Paris, France.
Paris;Musée d'Histoire Contemporaine;https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Histoire_Contemporaine;The Musée d'Histoire Contemporaine is a museum of contemporary history located in the Hôtel National des Invalides in the 7th arrondissement of Paris, France. It is open daily except Monday: an admission fee is charged.
Paris;Musée d’histoire de la médecine;https://en.wikipedia.org/wiki/Mus%C3%A9e_d%E2%80%99histoire_de_la_m%C3%A9decine;The History of Medicine Museum (French: Musée d’histoire de la médecine) in Paris, is located at the second floor of the Paris Descartes University, 12 rue de l'École de Médecine, in the buildings of the historic Faculty of Medicine, created in 1803 on the site of the old College and Academy of Surgery.
Paris;Musée d'Orsay;https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Orsay;
Paris;Musée de l'Armée;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_l%27Arm%C3%A9e;Coordinates: 48°51′25″N 2°18′46″E
Paris;Musée de l'érotisme;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_l%27%C3%A9rotisme;Museum of Eroticism (French: Musée de l'érotisme) was a sex museum in Paris devoted to the erotic art collections of antique dealer Alain Plumey and French teacher Jo Khalifa. It closed its doors on November 7th, 2016. Founded in 1997, the museum was situated in the Pigalle district of Paris, at 72 Boulevard de Clichy. The collection ranged from the ancient religious art of India, Japan and Africa right up to contemporary art with an erotic focus. There were five floors, including a basement exhibition. One floor was devoted to maisons closes, the legal brothels of the 19th and early 20th century.
Paris;Musée de l'Éventail;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_l%27%C3%89ventail;The Musée de l'Éventail (Fan Museum), or more formally L'Atelier Hoguet Musée de l'Éventail, is a private museum of fans and fan-making located in the 10th arrondissement at 2, boulevard de Strasbourg, Paris, France. It is open several afternoons per week (Monday, Tuesday and Wednesday) and is closed annually during the month of August: an admission fee is charged. The nearest métro station is Strasbourg – Saint-Denis.
Paris;Musée de l'histoire de France;https://en.wikipedia.org/wiki/Museum_of_French_History;The Musée des Archives Nationales, formerly known as the Musée de l'Histoire de France (French  (help·info)), is a state museum of French history operated by the Archives Nationales. The museum features exhibitions drawn from the collections of the government archives and aims to provide document-based perspective on France’s history and the evolution of French society.[1][2] It is housed in the Hôtel de Soubise in the Marais neighborhood in the 3rd arrondissement of Paris, France. It was first established under Napoleon III in 1867 with the direction of Léon de Laborde.[2]
Paris;Musée de l'Homme;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_l%27Homme;The Musée de l'Homme (French, "Museum of Man") is an anthropology museum in Paris, France. It was established in 1937 by Paul Rivet for the 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne. It is the descendant of the Musée d'Ethnographie du Trocadéro, founded in 1878. The Musée de l'Homme is a research center under the authority of various ministries, and it groups several entities from the CNRS. The Musée de l'Homme is one of the seven departments of the Muséum national d'histoire naturelle. The Musée de l'Homme occupies most of the Passy wing of the Palais de Chaillot in the 16th arrondissement. The vast majority of its collection was transferred to the Quai Branly museum.[1]
Paris;Musée de l'Orangerie;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_l%27Orangerie;Coordinates: 48°51′49.88″N 2°19′20.18″E
Paris;Musée de l'Ordre de la Libération;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_l%27Ordre_de_la_Lib%C3%A9ration;The Musée de l'Ordre de la Libération is a military museum located in the 7th arrondissement at 51 bis boulevard de La Tour-Maubourg, Paris, France. It is open daily except Sunday: admission is free. The museum is dedicated to the Ordre de la Libération, France's second national order after the Légion d'honneur, which was created in 1940 by General Charles de Gaulle, leader of the Free French Forces. In 1967 de Gaulle moved the Order of the Liberation into Les Invalides. The museum contains three galleries and six rooms (total 1,000 m²) documenting the history of the Free French Forces, de Gaulle's manuscripts, resistance activities, and the concentration camps. Showcases contain more than 4,000 objects including uniforms, weapons, clandestine press and leaflets, transmitters, flags taken to the enemy on the battlefields of Africa and Europe, the first naval flags of Free France, and relics from the camps. The hall of honor is dedicated to General de Gaulle.[1]
Paris;Musée de la Chasse et de la Nature;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_la_Chasse_et_de_la_Nature;The Musée de la Chasse et de la Nature (Museum of Hunting and Nature) is a private museum of hunting and nature located in the 3rd arrondissement of Paris, France. The museum is served by the Rambuteau Paris Métro station.
Paris;Musée de la Contrefaçon;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_la_Contrefa%C3%A7on;The Musée de la Contrefaçon is a museum of counterfeiting. It is located at 16, rue de la Faisanderie, in the 16th arrondissement of Paris, France, and open daily except Monday: an admission fee is charged. The nearest métro and RER stations are Porte Dauphine and Avenue Foch.
Paris;Musée de la Franc-Maçonnerie;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_la_Franc-Ma%C3%A7onnerie;The Musée de la Franc-Maçonnerie (French Museum of Freemasonry) is a museum of Freemasonry located in the 9th arrondissement at 16, rue Cadet, Paris, France. It is open daily except Sundays and Mondays: an admission fee is charged. The closest métro station is Cadet. The museum was established in 1889 by the Grand Orient de France as a cabinet of curiosities in the Hotel Cadet. It was despoiled in the German occupation of France during World War II but reopened in 1973, and in 2000 became an official museum of France. In that same year, many of its historical documents were returned from Moscow, where they had been held by the KGB after Germany's defeat in World War II.
Paris;Musée de la Magie;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_la_Magie;The Musée de la Magie, also known as the Musée de la Curiosité et de la Magie and the Académie de la Magie, is a private museum located in the 4th arrondissement at 11, rue saint Paul, Paris, France. It is open several afternoons per week: an admission fee is charged.
Paris;Musée de la Cinémathèque;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_la_Cin%C3%A9math%C3%A8que;The Musée de la Cinémathèque, formerly known as Musée du Cinéma – Henri Langlois, is a museum of cinema history located in the Cinémathèque française, 51 rue de Bercy in the 12th arrondissement. It presents the living history of moving pictures and pre-cinema, from their origins to the present day and in all countries, with collections of more than 5,000 movie-related objects including cameras, movie scripts and sets, photographic stills, costumes worn by actors, like Rudolph Valentino or Marilyn Monroe, and showed several early movies from the important collection of the Cinémathèque.
Paris;Musée du 11 Conti - Monnaie de Paris;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_la_Monnaie_de_Paris;The Monnaie de Paris (Paris Mint) is a government-owned institution responsible for producing France's euro coins. Founded in 864 AD, it is the world's oldest continuously-running minting institution operating from two sites, one in Paris and one in Pessac. Administratively speaking, the "Direction of Coins and Medals", the national mint is an administration of the French government charged with issuing coins as well as producing medals and other similar items. Many ancient coins are housed in the collections maintained there. Though in the Middle Ages there were numerous other mints in provincial cities officially issuing legitimate French coinage struck in the name of the ruler, the Monnaie de Paris has always been the prime issuer.
Paris;Musée de la Musique;https://en.wikipedia.org/wiki/Cit%C3%A9_de_la_Musique#Mus%C3%A9e_de_la_Musique;
Paris;Musée de La Poste;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_La_Poste;The Musée de La Poste (La Poste's Museum) is the museum of the French postal operator La Poste. It specialises in the postal history and philately of France. Opened in 1946, the museum has been located on two sites in Paris. The museum is presently closed for redevelopment, and as at November 2015, is expected to be closed for the next two years.
Paris;Musée de la Sculpture en Plein Air;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_la_Sculpture_en_Plein_Air;The Musée de la Sculpture en Plein Air is a collection of outdoor sculpture located on the banks of the Seine in the 5th arrondissement, Paris, France. The museum opens free of charge.
Paris;Musée de la Vie Romantique;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_la_Vie_Romantique;The Musée de la Vie romantique (The Museum of Romantic Life, or Museum of the Romantics) stands at the foot of Montmartre hill in the 9th arrondissement of Paris, 16 rue Chaptal, Paris, France in an 1830 hôtel particulier facing two twin-studios, a greenhouse, a small garden, and a paved courtyard. The museum is open daily except Monday. Permanent collections are free. An admission fee is charged for temporary exhibitions. The nearest métro stations are Pigalle, Blanche, Saint-Georges, and Liège.
Paris;Musée de Minéralogie;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_Min%C3%A9ralogie;The Musée de Minéralogie is a museum of mineralogy operated by the École nationale supérieure des mines de Paris (Mines ParisTech). It is located in the 6th arrondissement at 60, boulevard Saint Michel, Paris, France, and open daily except Sunday and Monday: an admission fee is charged.
Paris;Musée de Montmartre;https://en.wikipedia.org/wiki/Mus%C3%A9e_de_Montmartre;The Musée de Montmartre is located in Montmartre, at 8-14 rue Cortot in the 18th (XVIII) arrondissement of Paris, France. It was founded in 1960 and was classified as a Musée de France in 2003.
Paris;Musée des Arts Décoratifs;https://en.wikipedia.org/wiki/Mus%C3%A9e_des_Arts_D%C3%A9coratifs,_Paris;Musée des Arts Décoratifs (Museum of Decorative Arts), a museum of the decorative arts and design, located in the Palais du Louvre's western wing, known as the Pavillon de Marsan, at 107 rue de Rivoli, in the 1st arrondissement of Paris, France. It is one of three museum locations of Les Arts Décoratifs.
Paris;Musée des Arts et Métiers;https://en.wikipedia.org/wiki/Mus%C3%A9e_des_Arts_et_M%C3%A9tiers;The Musée des Arts et Métiers (French pronunciation: [myze dez‿aʁz‿e metje], Museum of Arts and Trades) is an industrial design museum in Paris that houses the collection of the Conservatoire National des Arts et Métiers (National Conservatory of Arts and Industry), which was founded in 1794 as a repository for the preservation of scientific instruments and inventions.
Paris;Musée des Arts Forains;https://en.wikipedia.org/wiki/Mus%C3%A9e_des_Arts_Forains;The Musée des Arts Forains - Collection Jean-Paul Favand is a private museum of funfair objects located within the Pavillons de Bercy in the 12th arrondissement of Paris at 53, avenue des Terroirs de France, Paris, France, with temporary exhibition space at 64, rue des Pirogues de Bercy. It is open to the public by prior reservation.
Paris;Musée des Collections Historiques de la Préfecture de Police;https://en.wikipedia.org/wiki/Mus%C3%A9e_des_Collections_Historiques_de_la_Pr%C3%A9fecture_de_Police;The Musée des Collections Historiques de la Préfecture de Police, also known as the Musée de la Préfecture de Police, is a museum of police history in the 5th arrondissement of Paris, France. It is located in the Hôtel de police at 4, rue de la Montagne-Sainte-Geneviève. The museum is open daily except Sunday: admission is free.
Paris;Musée des Égouts de Paris;https://en.wikipedia.org/wiki/Mus%C3%A9e_des_%C3%89gouts_de_Paris;The Paris Sewer Museum (French: Musée des Égouts de Paris), is a currently closed history museum located in the sewers at the esplanade Habib-Bourguiba, near the pont de l'Alma, in the 7th arrondissement of Paris, France.
Paris;Musée des Lunettes et Lorgnettes Pierre Marly;https://en.wikipedia.org/wiki/Mus%C3%A9e_des_Lunettes_et_Lorgnettes_Pierre_Marly;The Musée des Lunettes et Lorgnettes Pierre Marly is a museum of eyeglasses located in the 1st arrondissement of Paris, France, at 380 rue Saint-Honoré. It is open Tuesday through Saturday: an admission fee is charged.
Paris;Musée des Plans-Reliefs;https://en.wikipedia.org/wiki/Mus%C3%A9e_des_Plans-Reliefs;The Musée des Plans-Reliefs is a museum of military models located within the Hôtel des Invalides in the 7th arrondissement of Paris, France.
Paris;Musée du Barreau de Paris;https://en.wikipedia.org/wiki/Mus%C3%A9e_du_Barreau_de_Paris;The Musée du Barreau de Paris is a French museum dedicated to the history of the Paris Bar and its lawyers.[1] It is located close to the Église Saint-Eustache, in the 1st arrondissement of Paris, at 25 rue du Jour, Paris, and opens for groups, on appointment. A guided visit in English can be organised on request. An entrance fee is charged.
Paris;Musée du Fumeur;https://en.wikipedia.org/wiki/Mus%C3%A9e_du_Fumeur;The Musée du Fumeur (Smoking Museum) is a private museum of smoking located in the 11th arrondissement of Paris at 7 rue Pache, Paris, France. It is open daily except Monday: an admission fee is charged. The nearest métro station is Voltaire.
Paris;Musée du Louvre;https://en.wikipedia.org/wiki/Louvre;
Paris;Musée du Général Leclerc de Hauteclocque et de la Libération de Paris – Musée Jean Moulin;https://en.wikipedia.org/wiki/Mus%C3%A9e_du_G%C3%A9n%C3%A9ral_Leclerc_de_Hauteclocque_et_de_la_Lib%C3%A9ration_de_Paris_%E2%80%93_Mus%C3%A9e_Jean_Moulin;The Musée du Général Leclerc de Hauteclocque et de la Libération de Paris – Musée Jean Moulin is a museum located in the 15th arrondissement of Paris at 23, Allée de la 2e DB, Jardin Atlantique, Paris, France. It is open daily except Mondays: as of 2016 admission was free of charge.
Paris;Musée du Luxembourg;https://en.wikipedia.org/wiki/Mus%C3%A9e_du_Luxembourg;The Musée du Luxembourg is a museum at 19 rue de Vaugirard in the 6th arrondissement of Paris. Established in 1750, it was initially an art museum located in the east wing of the Luxembourg Palace (the matching west wing housed Ruben's Marie de' Medici cycle) and in 1818 became the first museum of contemporary art. In 1884 the museum moved into its current building, the former orangery of the Palace. The museum was taken over by the French Ministry of Culture and the French Senate in 2000, when it began to be used for temporary exhibitions, and became part of the Réunion des Musées Nationaux in 2010.[1][2]
