desc,titre,url,ville
"The  Children’s Museum of Manhattan  was founded by Bette Korman, under the name GAME (Growth Through Art and Museum Experience), in 1973. [1]   With  New York City  in a deep fiscal crisis, and school art, music, and cultural programs eliminated, a loosely organized, group of artists and educators set up a basement storefront to serve  Harlem  and the  Upper West Side .   With a  challenge grant  from the  National Endowment for the Arts , a city-owned courthouse was renovated into a small exhibition, studio, and workshop and renamed the Manhattan Laboratory Museum. The museum became the Children’s Museum of Manhattan in the 1980s and moved to its current location on West 83rd Street in 1989. Its audience has grown to 325,000 visitors each year, which includes 30,000 children who visit as part of a school group and more than 34,000 children served through offsite outreach programs. [2] 
",Children's Museum of Manhattan,https://en.wikipedia.org/wiki/Children%27s_Museum_of_Manhattan,2
"Cooper Hewitt, Smithsonian Design Museum  is a  design   museum  located in the  Upper East Side 's  Museum Mile  in  Manhattan ,  New York City . It is one of nineteen museums that fall under the wing of the  Smithsonian Institution  and is one of three Smithsonian facilities located in New York City, the other two being the  George Gustav Heye Center  in  Bowling Green  and the  Archives of American Art  New York Research Center in the  Flatiron District . It is the only museum in the  United States  devoted to historical and contemporary design. Its collections and exhibitions explore approximately 240 years of design aesthetic and creativity. [2] 
","Cooper Hewitt, Smithsonian Design Museum","https://en.wikipedia.org/wiki/Cooper_Hewitt,_Smithsonian_Design_Museum",2
"The  Renee and Chaim Gross Foundation  is a non-profit organization dedicated to the study of modern American sculptor  Chaim Gross  (1904-91), his contemporaries, and the history of 20th-century American art. It is located in the sculptor's four-story historic home on  LaGuardia Place  in  Manhattan 's  Greenwich Village  neighborhood and is open to the public. In addition to the artist's sculpture and drawings, it also exhibits important works of American, European, Pre-Columbian and African art that the artist collected. In 2015, the Foundation won a Village Award from the  Greenwich Village Society for Historic Preservation  for its contributions as a resource to the downtown community.
",Renee and Chaim Gross Foundation,https://en.wikipedia.org/wiki/Chaim_Gross_Studio_Museum,2
"The  Brooklyn Museum  is an  art museum  located in the  New York City   borough  of  Brooklyn . At 560,000 square feet (52,000 m 2 ), the museum is  New York City 's third largest in physical size and holds an art collection with roughly 1.5 million works. [2] 
",Brooklyn Museum,https://en.wikipedia.org/wiki/Brooklyn_Museum,2
"The  Brooklyn Children's Museum  is a children's museum in  Crown Heights ,  Brooklyn ,  New York City . Founded in 1899, it is the first  museum  in the  United States  – and according to some, the first one worldwide [1]  – that caters specifically to children. It is unusual in its location in what is predominantly a residential area. [2]  Housed in a multi-level underground gallery, [3]  the museum underwent an expansion and renovation to double its space, reopened on September 20, 2008, and became the first  green museum  in New York City.
",Brooklyn Children's Museum,https://en.wikipedia.org/wiki/Brooklyn_Children%27s_Museum,2
"The  Bronx Museum of the Arts  ( BxMA ), also called the  Bronx Museum of Art [2]  or simply the  Bronx Museum , [3]  is an  American  cultural institution located in  Concourse ,  Bronx ,  New York City . The museum focuses on contemporary and 20th-century works created by American artists, but it has hosted exhibitions of art and design from  Latin America ,  Africa , and  Asia . Its permanent collection consists of more than 800 paintings, sculptures, photographs, and works on paper. [4]  The museum is part of the  Grand Concourse Historic District . [5] 
",Bronx Museum of the Arts,https://en.wikipedia.org/wiki/Bronx_Museum_of_the_Arts,2
"The  Lower East Side Tenement Museum , located at 97 and 103  Orchard Street  in the  Lower East Side  neighborhood of  Manhattan ,  New York City , is a  National Historic Site . The Museum's two historical  tenement  buildings were home to an estimated 15,000 people, from over 20 nations, between 1863 and 2011. The museum, which includes a visitors' center, promotes tolerance and historical perspective on the  immigrant experience .
",Lower East Side Tenement Museum,https://en.wikipedia.org/wiki/Lower_East_Side_Tenement_Museum,2
"The  South Street Seaport  is a historic area in the  New York City   borough  of  Manhattan , centered where  Fulton Street  meets the  East River , and adjacent to the  Financial District . The Seaport is a  designated historic district , and is distinct from the neighboring Financial District. It is part of  Manhattan Community Board 1  in  Lower Manhattan , and is bounded by the Financial District to the west, southwest, and north; the East River to the southeast; and  Two Bridges  to the northeast.
",South Street Seaport,https://en.wikipedia.org/wiki/South_Street_Seaport_Museum,2
"The  music of  New York City  is a diverse and important field in the world of music. It has long been a thriving home for popular genres such as  jazz ,  rock , and the  blues , as well as  classical  and  art  music. It is the birthplace of  hip hop ,  Latin freestyle ,  doo wop ,  bebop ,  disco ,  punk rock , and  new wave . It's also the birthplace of  salsa music , born from a fusion of Cuban and Puerto Rican influences that came together in New York's Latino neighborhoods in the 1960s. The city's culture, a  melting pot  of nations from around the world, has produced vital  folk music  scenes such as  Irish-American music  and Jewish  klezmer . Beginning with the rise of popular sheet music in the early 20th century, New York's  Broadway   musical theater , and  Tin Pan Alley 's  songcraft , New York has been a major part of the American  music industry . [1] 
",Music of New York City,https://en.wikipedia.org/wiki/Music_of_New_York_City,2
"The  Store Front Museum  was established in 1971 in  Queens, New York  by Tom Lloyd, to serve as a cultural center for the  Black  community of the borough. [1]  It was originally located at 162-02 Liberty Avenue, in a former retail tire dealer building.
",Store Front Museum,https://en.wikipedia.org/wiki/Store_Front_Museum,2
"A  musical instrument  is an instrument created or adapted to make  musical sounds . In principle, any object that produces sound can be considered a musical instrument—it is through purpose that the object becomes a musical instrument. [ citation needed ]  The history of musical instruments dates to the beginnings of human culture. Early musical instruments may have been used for ritual, such as a  trumpet  to signal success on the hunt, or a  drum  in a religious ceremony. Cultures eventually developed composition and performance of  melodies  for entertainment. Musical instruments evolved in step with changing applications.
",Musical instrument,https://en.wikipedia.org/wiki/Musical_instrument,2
Route map : ,Fifth Avenue,https://en.wikipedia.org/wiki/Fifth_Avenue,2
"The  Sports Museum of America  (SmA) was the  United States ' first national sports museum dedicated to the history and cultural significance of  sports in America . It opened in May 2008 and closed less than nine months later, in February 2009.  [1] 
",Sports Museum of America,https://en.wikipedia.org/wiki/Sports_Museum_of_America,2
"The  New York Tattoo Museum  was a museum located at 203  Old Town Road  in  Staten Island 's  Old Town  neighborhood. It was reported to be the first tattoo museum to open in  New York City . [1]  By 2017, the museum had closed.
",New York Tattoo Museum,https://en.wikipedia.org/wiki/New_York_Tattoo_Museum,2
"The  New York Jazz  Museum  was, from 1972–1977 one of the most important centers for the study of  jazz . At its height it held 25,000 items. It was founded by  Howard Fischer , among others, but closed after five years amid a power struggle between Fischer and other  curators .
",New York Jazz Museum,https://en.wikipedia.org/wiki/New_York_Jazz_Museum,2
"The  National Museum of Catholic Art and History  is a museum in  Washington, D.C. , focusing on  Roman Catholic art . It was formerly located in  East Harlem , Manhattan, New York City. [1]  It was founded by Christina Cox in 1995. [2] 
",National Museum of Catholic Art and History,https://en.wikipedia.org/wiki/National_Museum_of_Catholic_Art_and_History,2
"The  Museum of Primitive Art , is a now defunct museum devoted to the early arts of the indigenous cultures of Africa, the Americas, Asia, Europe and  Oceania. [2]   It was founded in 1954 by  Nelson Rockefeller , who donated his own collection of  Tribal art . The museum opened to the public in 1957 in a townhouse on at 15 West  54th Street  in New York City.  Robert Goldwater  (1907–1973) was the museum’s first director.  The museum closed in 1976, and its collections were transferred to the  Metropolitan Museum of Art . [2] 
",Museum of Primitive Art,https://en.wikipedia.org/wiki/Museum_of_Primitive_Art,2
"The  Museum of Comic and Cartoon Art  ( MoCCA ) is a  not-for-profit arts organization  and former museum in  New York , devoted to  comic books ,  comic strips  and other forms of  cartoon  art. [1]  MoCCA sponsored events ranging from book openings to educational programs in New York City schools, and hosted classes, workshops and lectures. MoCCA was perhaps best known for its annual small-press comic convention, known as  MoCCA Fest , first held in 2002.
",Museum of Comic and Cartoon Art,https://en.wikipedia.org/wiki/Museum_of_Comic_and_Cartoon_Art,2
"The  Museum of Biblical Art  (MOBIA) was a Museum in  New York ; it closed in 2015.  
",Museum of Biblical Art (New York City),https://en.wikipedia.org/wiki/Museum_of_Biblical_Art_(Manhattan),2
"The  Morbid Anatomy Museum  was a nonprofit exhibition space founded by  Joanna Ebenstein ,  Tracy Hurley Martin ,  Colin Dickey ,  Tonya Hurley , and  Aaron Beebe  in the  Gowanus  neighborhood of  Brooklyn ,  New York [1] . The museum was an expansion of Ebenstein's long-running project, the Morbid Anatomy  Blog  and  Library  and drew heavily on her experiences with the also defunct art groups  Observatory  and  Proteus Gowanus [2] , as well as Beebe's work in the Coney Island Museum [3] [4]  and Dickey's interest in the arcane and the esoteric [5] . The museum building had a lecture and event space, a cafe and a store. [6]  The museum's closing was announced 18 Dec 2016. [7] 
",Morbid Anatomy Museum,https://en.wikipedia.org/wiki/Morbid_Anatomy_Museum,2
"The  Guggenheim Museum SoHo  was a branch of the  Guggenheim Museum  designed by  Arata Isozaki  that was located at the corner of  Broadway  and Prince Street in Manhattan's  SoHo  neighborhood, New York City. The museum opened in 1992 and closed in 2001 after hosting exhibits that included  Marc Chagall and the Jewish Theater ,  Paul Klee at the Guggenheim Museum ,  Robert Rauschenberg: A Retrospective , and  Andy Warhol: The Last Supper , which served as a key part of the museum's permanent collection. The closing was initially hoped to be temporary, but the museum closed permanently in 2002. [1] 
",Guggenheim Museum SoHo,https://en.wikipedia.org/wiki/Guggenheim_Museum_SoHo,2
"The  Chelsea Art Museum  (CAM) was a  contemporary art  museum located at 556  West 22nd Street  on the corner of  Eleventh Avenue  in the  Chelsea  neighborhood of  Manhattan ,  New York City .
",Chelsea Art Museum,https://en.wikipedia.org/wiki/Chelsea_Art_Museum,2
"Barnum's American Museum  was located at the corner of  Broadway  and  Ann Street  in  New York City , United States, from 1841 to 1865. The museum was owned by famous showman  P. T. Barnum , who purchased  Scudder's American Museum  in 1841. The museum offered both strange and educational attractions. [1] 
",Barnum's American Museum,https://en.wikipedia.org/wiki/Barnum%27s_American_Museum,2
"The  American Museum of Immigration  was a museum located on  Liberty Island  in  New York Harbor .  It was dedicated on September 26, 1972 in a ceremony presided over by  President of the United States   Richard Nixon . [1] 
",American Museum of Immigration,https://en.wikipedia.org/wiki/American_Museum_of_Immigration,2
"The  Yeshiva University Museum  is a teaching museum and the cultural arm of  Yeshiva University . Along with the  American Jewish Historical Society , the  American Sephardi Federation , the  Leo Baeck Institute, New York  and the  YIVO Institute for Jewish Research , it is a member organization of the  Center for Jewish History , a  Smithsonian Institution  affiliate located in New York’s  Chelsea  neighborhood.
",Yeshiva University Museum,https://en.wikipedia.org/wiki/Yeshiva_University_Museum,2
"The  Voelker Orth Museum , Bird Sanctuary and Victorian Garden is a  New York City Landmark  located in  Murray Hill ,  Queens . In addition to preserving a  German immigrant  family's 1890s home and garden, the Voelker Orth Museum engages audiences through the arts, education, nature, horticulture and local history by offering house tours, temporary exhibitions, concerts, lectures and workshops, cultural festivals, and family and school programs. Its mission is to ""preserve and interpret the cultural and horticultural heritage of Flushing, Queens and adjacent communities to engage their ever-changing populations, through the experience of an immigrant family’s 1890s home."" [1] 
",Voelker Orth Museum,https://en.wikipedia.org/wiki/Voelker_Orth_Museum,2
"The  Africa Center , formerly known as  Museum for African Art , is a museum that was formerly located in the neighborhood of  Long Island City  in the borough of  Queens  in  New York City ,  United States  and planning to reopen in a new building at  Fifth Avenue  and  110th Street  in  Upper East Side .  Founded in 1984, the  museum  is ""dedicated to increasing public understanding and appreciation of  African art  and culture."" The Museum is also well known for its public  education  programs that help raise awareness of  African  culture, and also operates a unique store selling authentic handmade African  crafts . [1]  It closed in the early 2010s, with a prospective reopening date of 2015.
",The Africa Center,https://en.wikipedia.org/wiki/Museum_for_African_Art,2
"The  Van Cortlandt House Museum , also known as the  Frederick Van Cortlandt House  or simply the  Van Cortlandt House , is the oldest building in the  borough  of  the Bronx  in  New York City .  It is located in the southwestern portion of  Van Cortlandt Park , accessed via  Broadway  ( United States Route 9 ).  The house was built in 1748 in the  Georgian style  by Frederick Van Cortlandt (1699–1749) for his family. Van Cortlandt died before its completion and the property was inherited by his son, James Van Cortlandt (1727–1787). It is a ​ 2   1 ⁄ 2 -story, L-shaped house with a double hipped roof. It was built of dressed  fieldstone  and is one of the nation's finest examples of the high Georgian style in stone. [3] 
",Van Cortlandt House Museum,https://en.wikipedia.org/wiki/Van_Cortlandt_House_Museum,2
"Coordinates :  40°43′40″N   73°59′23″W ﻿ / ﻿ 40.727801°N 73.989699°W ﻿ /  40.727801; -73.989699 
",Ukrainian Museum,https://en.wikipedia.org/wiki/The_Ukrainian_Museum,2
"The  Toy Museum of NY  is a theatrical and performance based museum which uses the museum's collection for its performances and to tell the story of societal change. It was founded in 1999 as  The Doll and Toy Museum of NYC  and given its current name in 2009. [1]  Later that samed year it moved from its original location in Cobble Hill to its permanent location on the second floor of  Brooklyn Heights '  St. Ann & the Holy Trinity Church . Among the locations for the museum's traveling locations are the Brooklyn Heights and Bay Ridge public library branches. [2] 
",Toy Museum of NY,https://en.wikipedia.org/wiki/Toy_Museum_of_NY,2
"Coordinates :  40°48′30.52″N   73°56′51.12″W ﻿ / ﻿ 40.8084778°N 73.9475333°W ﻿ /  40.8084778; -73.9475333 
",Studio Museum in Harlem,https://en.wikipedia.org/wiki/Studio_Museum_in_Harlem,2
"Staten Island Museum  (officially the  Staten Island Institute of Arts & Sciences ) is  Staten Island ’s oldest cultural institution, and the only remaining general interest  museum  in  New York City . 
",Staten Island Museum,https://en.wikipedia.org/wiki/Staten_Island_Museum,2
"The  Staten Island Children's Museum  is a  children's museum  on the grounds of  Sailors' Snug Harbor  on  Staten Island ,  New York . [1]  The museum opened in 1976 following community and government support for the project. [2] [3]  The museum stresses a hands-on interactive approach to its exhibits [4]   A large metal sculpture of a Praying Mantis, named  Francis the Praying Mantis , is located in front of the museum. [5] 
",Staten Island Children's Museum,https://en.wikipedia.org/wiki/Staten_Island_Children%27s_Museum,2
"A  museum  ( / m juː ˈ z iː əm /   mew- ZEE -əm ; plural  museums  or, rarely,  musea ) is an institution that  cares for  (conserves) a  collection  of artifacts and other objects of  artistic ,  cultural ,  historical , or  scientific  importance.  Many public museums make these items available for public viewing through  exhibits  that may be permanent or temporary. [1]  The largest museums are located in major cities throughout the world, while thousands of local museums exist in smaller cities, towns and rural areas. Museums have varying aims, ranging from serving researchers and specialists to serving the general public. The goal of serving researchers is increasingly shifting to serving the  general public .
",Museum,https://en.wikipedia.org/wiki/Museum,2
"The  American Alliance of Museums  ( AAM ), formerly the  American Association of Museums , is a  non-profit  association that has brought  museums  together since its founding in 1906, helping develop standards and best practices, gathering and sharing knowledge, and advocating on issues of concern to the museum community. AAM is dedicated to ensuring that museums remain a vital part of the American landscape, connecting people with the greatest achievements of the human experience, past, present and future.
",American Alliance of Museums,https://en.wikipedia.org/wiki/American_Alliance_of_Museums,2
"Musée des Arts Décoratifs  (Museum of Decorative Arts), a  museum  of the  decorative arts  and  design , located in the  Palais du Louvre 's western wing, known as the Pavillon de Marsan, at 107 rue de Rivoli, in the  1st arrondissement of Paris ,  France . It is one of three museum locations of  Les Arts Décoratifs .
","Musée des Arts Décoratifs, Paris","https://en.wikipedia.org/wiki/Mus%C3%A9e_des_Arts_D%C3%A9coratifs,_Paris",2
Route map : ,Fifth Avenue,https://en.wikipedia.org/wiki/Museum_Mile_(New_York_City),2
"The  Queens Museum , formerly the  Queens Museum of Art , is an  art museum  and educational center located in  Flushing Meadows-Corona Park  in the  borough  of  Queens  in  New York City ,  United States . The museum was founded in 1972, and has among its permanent exhibitions, the  Panorama of the City of New York , a room-sized scale model of the five boroughs originally built for the  1964 New York World's Fair , and repeatedly updated since then. It also has a large archive of artifacts from both World's Fairs, a selection of which is on display.
",Queens Museum,https://en.wikipedia.org/wiki/Queens_Museum_of_Art,2
"The  music of the United States  reflects  the country's multi-ethnic population  through a diverse array of styles. It is a mixture of music influenced by  West African ,  Irish ,  Scottish  and mainland European cultures among others. The country's most internationally renowned  genres  are  jazz ,  blues ,  country ,  bluegrass ,  rock ,  rhythm and blues ,  soul ,  ragtime ,  hip hop ,  barbershop ,  pop ,  experimental ,  techno ,  house ,  dance ,  boogaloo , and  salsa . The United States has the world's  largest music market  with a total retail value of 4,898.3 million dollars in 2014, [1]  and its music is heard around the world. Since the beginning of the 20th century, some forms of  American popular music  have gained a near global audience. [2] 
",Music of the United States,https://en.wikipedia.org/wiki/Music_of_the_United_States,2
"The  Museum of Egyptian Antiquities , known commonly as the  Egyptian Museum  or  Museum of Cairo , in  Cairo, Egypt , is home to an extensive collection of  ancient Egyptian  antiquities. It has 120,000 items, with a representative amount on display, the remainder in storerooms. Built in 1901 by the  Italian  construction company Garozzo-Zaffarani, the edifice is one of the  largest museums  in the region. As of July 2017, the museum is open to the public.
",Egyptian Museum,https://en.wikipedia.org/wiki/Egyptian_Museum,2
"The  music industry  consists of the companies and individuals that earn money by  creating  new  songs  and pieces and selling live concerts and shows, audio and video recordings, compositions and  sheet music , and the organizations and associations that aid and represent  music  creators. Among the many individuals and organizations that operate in the industry are: the  songwriters  and  composers  who create new songs and musical pieces; the  singers ,  musicians ,  conductors  and  bandleaders  who perform the music; the companies and professionals who create and sell  recorded music  and/or  sheet music  (e.g.,  music publishers ,  music producers ,  recording studios ,  engineers ,  record labels , retail and  online music stores ,  performance rights organizations ); and those that help organize and present  live music  performances ( sound engineers ,  booking agents ,  promoters ,  music venues ,  road crew ).
",Music industry,https://en.wikipedia.org/wiki/Music_industry,2
"Musical theatre  is a form of  theatrical  performance that combines songs, spoken  dialogue , acting and dance. The story and emotional content of a musical – humor,  pathos , love, anger – are communicated through the words, music, movement and technical aspects of the entertainment as an integrated whole. Although musical theatre overlaps with other theatrical forms like  opera  and dance, it may be distinguished by the equal importance given to the music as compared with the dialogue, movement and other elements. Since the early 20th century, musical theatre stage works have generally been called, simply,  musicals .
",Musical theatre,https://en.wikipedia.org/wiki/Musical_theater,2
"Chamber Music Society  is the third studio album by American bassist  Esperanza Spalding . After Spalding's Grammy win, the album re-entered the  Billboard  200  at number 34 with sales of 18,000. [9] 
",Chamber Music Society,https://en.wikipedia.org/wiki/Chamber_Music_Society,2
"The  American Museum of Fly Fishing  is a  museum  in  Manchester, Vermont , United States, that preserves and exhibits artifacts related to American  angling .
",American Museum of Fly Fishing,https://en.wikipedia.org/wiki/American_Museum_of_Fly_Fishing,2
"Coordinates :  40°52′24″N   73°55′06″W ﻿ / ﻿ 40.873294°N 73.918376°W ﻿ /  40.873294; -73.918376 
",Muscota Marsh,https://en.wikipedia.org/wiki/Muscota_Marsh,2
"Eastern Parkway–Brooklyn Museum  is a local  station  on the  IRT Eastern Parkway Line  of the  New York City Subway . Located at the intersection of Washington Avenue and Eastern Parkway in  Brooklyn  adjacent to the  Brooklyn Museum , it is served by the  2  at all times, the  3  at all times except late nights, and the  4  train during late nights.
",Eastern Parkway–Brooklyn Museum (IRT Eastern Parkway Line),https://en.wikipedia.org/wiki/Eastern_Parkway_%E2%80%93_Brooklyn_Museum_(IRT_Eastern_Parkway_Line),2
"A  musical instrument  is an instrument created or adapted to make  musical sounds . In principle, any object that produces sound can be considered a musical instrument—it is through purpose that the object becomes a musical instrument. [ citation needed ]  The history of musical instruments dates to the beginnings of human culture. Early musical instruments may have been used for ritual, such as a  trumpet  to signal success on the hunt, or a  drum  in a religious ceremony. Cultures eventually developed composition and performance of  melodies  for entertainment. Musical instruments evolved in step with changing applications.
",Musical instrument,https://en.wikipedia.org/wiki/Musical_instruments,2
"The  Girl Scout Museum and Archives  is part of the Girl Scout National Historic Preservation Center at the  Girl Scouts   headquarters  located at 420 Fifth Avenue in  New York City . It was founded in 1987 to promote and preserve scouting history and its  collection  dates back to 1912 when the Girl Scouts were founded. The museum holds more than 60,000 photos, 7,000 publications, 650 uniforms and an  a/v  collection dating back to 1918.
",Girl Scout Museum and Archives,https://en.wikipedia.org/wiki/Girl_Scout_Museum_and_Archives,2
"The  National Conservatory of Music of America  was an institution for higher education in music founded in 1885 in  New York City  by  Jeannette Meyers Thurber . The conservatory  was officially declared defunct by the state of New York in 1952, although for all practical pedagogical purposes, it had ceased to function much earlier than that; however, between its founding and about 1920 the conservatory played an important part in the education and training of musicians in the United States. A number of prominent names are associated with the institution, including that of  Victor Herbert  and  Antonín Dvořák , director of the conservatory from Sep. 27, 1892 to 1895. [1]  (It was at the conservatory that Dvořák composed his famous  E minor  Symphony and subtitled it, at Thurber’s suggestion,  From the New World .) [2] 
",National Conservatory of Music of America,https://en.wikipedia.org/wiki/National_Conservatory_of_Music_of_America,2
"Radio City Music Hall  is an entertainment venue at 1260  Avenue of the Americas , within  Rockefeller Center , in  Midtown Manhattan ,  New York City . Nicknamed the  Showplace of the Nation , it was for a time the leading tourist destination in the city. The venue is notable as the headquarters for the precision dance company,  the Rockettes .
",Radio City Music Hall,https://en.wikipedia.org/wiki/Radio_City_Music_Hall,2
"The  Music of Java  embraces a wide variety of styles, both traditional and contemporary, reflecting the diversity of the island and its lengthy  history . Apart from traditional forms that maintain connections to musical styles many centuries old, there are also many unique styles and conventions which combine elements from many other regional influences, including those of neighbouring Asian cultures and European colonial forms.
",Music of Java,https://en.wikipedia.org/wiki/Music_of_Java,2
"The  music of Japan  includes a wide array of performers in distinct styles, both traditional and modern. The word for ""music"" in  Japanese  is 音楽 ( ongaku ), combining the kanji  音  on  (sound) with the kanji 楽  gaku  (enjoy). [1]   Japan  is the largest  physical music  market in the world, worth US$2 billion in sales in physical formats in 2014, and  the second-largest overall music market , worth a total retail value of 2.6 billion dollars in 2014 [2]  – dominated by Japanese artists, with 37 of the top 50 best-selling albums [3]  and 49 of the top 50 best-selling singles in 2014. [4] 
",Music of Japan,https://en.wikipedia.org/wiki/Music_of_Japan,2
"The  Cartoonmuseum Basel  (founded in 1979) is devoted to  cartoons ,  parodies  and  pastiches  of works of art and artists,  comics  and  caricatures . The  Basel   museum  is the only one of its kind within a radius of 500 kilometers. Encompassing some 3,000 original works by over 700 artists from the 20th and 21st centuries from over three dozen countries, the collection’s holdings are shown in thematic and monografic temporary  exhibitions .
",Caricature & Cartoon Museum Basel,https://en.wikipedia.org/wiki/Caricature_%26_Cartoon_Museum_Basel,2
"Scudder's American Museum  was a museum located in  New York City  from 1810 to 1841, when it was purchased by  P.T. Barnum  and transformed into the very successful  Barnum's American Museum .
",Scudder's American Museum,https://en.wikipedia.org/wiki/Scudder%27s_American_Museum,2
"The  Philip and Sarah Belz School of Jewish Music  is a  music school  that focuses on  Jewish music . It is part of  Yeshiva University  and its  Rabbi Isaac Elchanan Theological Seminary  in  New York City . Classes are held in the Schottenstein Center on Yeshiva University's Wilf Campus in  Manhattan .  Courses include  nusah hatefilah  (prayer chant),  cantillation  (biblical chant), voice, piano,  music theory , history of Jewish music and liturgy,  safrut  (Hebrew calligraphy), and  Sephardic   hazzanut  (cantorial). 
",Philip and Sarah Belz School of Jewish Music,https://en.wikipedia.org/wiki/Philip_and_Sarah_Belz_School_of_Jewish_Music,2
"The  Barnum Museum  is a museum at 820 Main Street in  Bridgeport, Connecticut , United States.  It has an extensive collection related to  P. T. Barnum  and the history of Bridgeport, and is housed in a historic building on the  National Register of Historic Places . [2] 
",Barnum Museum,https://en.wikipedia.org/wiki/Barnum_Museum,2
"Seaport Music Festival  is an international music festival staged at  South Street Seaport  in lower Manhattan during the summer.  Founded in 2002, the annual music series is recognized for presenting a plethora of indie music's most relevant breaking and established bands—indie veterans to critically acclaimed newcomers—from around the globe.
",Seaport Music Festival,https://en.wikipedia.org/wiki/Seaport_Music_Festival,2
"Musical theatre  is a form of  theatrical  performance that combines songs, spoken  dialogue , acting and dance. The story and emotional content of a musical – humor,  pathos , love, anger – are communicated through the words, music, movement and technical aspects of the entertainment as an integrated whole. Although musical theatre overlaps with other theatrical forms like  opera  and dance, it may be distinguished by the equal importance given to the music as compared with the dialogue, movement and other elements. Since the early 20th century, musical theatre stage works have generally been called, simply,  musicals .
",Musical theatre,https://en.wikipedia.org/wiki/Musical_(theater),2
"C+C Music Factory  was an American musical group formed in 1989 by  David Cole  and  Robert Clivillés . The group is best known for their five hit singles: "" Gonna Make You Sweat (Everybody Dance Now) "", "" Here We Go (Let's Rock & Roll) "", "" Things That Make You Go Hmmmm... "", "" Just a Touch of Love "", and ""Keep It Comin'"". The band stopped recording in 1996, following Cole's death. [1]  In 2010, C+C Music Factory reformed, with  Eric Kupper  replacing Cole. [2] [3]   Original vocalist  Freedom Williams  acquired trademark rights to the name in 2003 and still tours under that moniker.
",C+C Music Factory,https://en.wikipedia.org/wiki/C%2BC_Music_Factory,2
